name,county,acres,long,lat,year,date_end,date_start,days
Keswick Fire,Shasta,24,-122.46777,40.61388,2016,6/12/2016,6/11/2016,1.00
Bryson Fire,Monterey,25,-121.0381507,35.8378273,2016,5/12/2016,5/12/2016,0.00
Aukum Fire,El Dorado,25,-120.6955,38.64107,2016,6/4/2016,6/3/2016,1.00
Oak Fire,Santa Clara,25,-121.68577,37.06531,2016,8/14/2016,8/12/2016,2.00
Oak Fire,Santa Clara,25,-121.69784,37.11831,2016,9/2/2016,9/1/2016,1.00
Bailey Fire,Siskiyou,26,-122.59328,41.96191,2016,7/20/2016,7/19/2016,1.00
Deer Fire,Amador,26,-120.8657,38.2581,2016,8/6/2016,8/5/2016,1.00
Rock Fire,San Diego,28,-116.9571,33.00056,2016,7/24/2016,7/22/2016,2.00
Gopher Fire,San Diego,28,-117.158475,33.254355,2016,11/14/2016,11/13/2016,1.00
Taglio Fire,Merced,30,-121.08036,37.2171,2016,4/24/2016,4/24/2016,0.00
70 Fire,Butte,30,-121.595093,39.624017,2016,5/29/2016,5/29/2016,0.00
Hidden Fire,San Benito,30,-121.40304,36.80296,2016,6/3/2016,6/3/2016,0.00
Lone Pine Fire,Inyo,30,-118.15589,36.58972,2016,7/2/2016,7/1/2016,1.00
Old Fire,Butte,30,-121.6998,39.8851,2016,9/19/2016,9/16/2016,3.00
Clay Fire,Sacramento,32,-121.06452,38.3131,2016,6/3/2016,6/3/2016,0.00
Frymire Fire,Tuolumne,32,-120.69521,37.81434,2016,8/1/2016,7/30/2016,2.00
Moffett Fire,Siskiyou,32,-122.7933,41.6314,2016,9/13/2016,9/12/2016,1.00
Campo Fire,Calaveras,33,-120.8678,38.22017,2016,6/30/2016,6/27/2016,3.00
Stagecoach Fire,Calaveras,35,-120.67335,37.96311,2016,7/13/2016,7/12/2016,1.00
Gopher Fire,San Diego,35,-117.14547,33.22558,2016,8/11/2016,8/10/2016,1.00
Mountain Fire,Shasta,35,-122.47091,40.61213,2016,8/10/2016,8/9/2016,1.00
Knoxville Fire,Lake,36,-122.26015,38.68403,2016,8/10/2016,8/9/2016,1.00
Mina Fire,Mendocino,36,-123.4267011,39.8748511,2016,8/31/2016,8/30/2016,1.00
Phoenix Fire,Nevada,38,-120.51887,39.39051,2016,9/8/2016,9/7/2016,1.00
Fork Fire,Madera,38,-119.4741,37.24006,2016,7/31/2016,7/29/2016,2.00
Franklin Fire,Contra Costa,40,-122.1885,38.01264,2016,7/24/2016,7/24/2016,0.00
Boys Fire,Sacramento,40,-121.1309,38.558,2016,9/12/2016,9/11/2016,1.00
Paskenta Fire,Tehama,43,-122.40142,39.93965,2016,6/21/2016,6/21/2016,0.00
Kuehner Fire,Ventura,45,-118.63264,34.27619,2016,7/1/2016,7/1/2016,0.00
Kugelman Fire,Lake,45,-120.51057,36.09974,2016,8/10/2016,8/9/2016,1.00
Bell Fire,Amador,45,-120.8416,38.5212,2016,9/25/2016,9/23/2016,2.00
Laguna Fire,Orange,47,-117.77395,33.57872,2016,6/29/2016,6/26/2016,3.00
Auburn Fire,Nevada,47,-121.05948,39.20427,2016,9/20/2016,9/17/2016,3.00
70 Fire,Butte,49,-121.6051,39.43351,2016,6/21/2016,6/21/2016,0.00
Ruff Fire,Mendocino,50,-123.5044,39.7299,2016,9/15/2016,9/10/2016,5.00
Spring Fire,San Bernardino,50,-117.3189,34.3183,2016,9/9/2016,9/7/2016,2.00
Storksbill Fire,El Dorado,50,-121.00299,38.79549,2016,7/23/2016,7/22/2016,1.00
Lowe Fire,Monterey,52,-120.9293,36.1934,2016,6/24/2016,6/23/2016,1.00
Baker Fire,Calaveras,57,-120.64241,37.98171,2016,7/22/2016,7/21/2016,1.00
Oak Fire,Solano,57,-122.02564,38.33475,2016,7/22/2016,7/22/2016,0.00
Cotton Fire,Kern,61,-120.251,35.77135,2016,6/12/2016,6/11/2016,1.00
Creek Fire,Napa,65,-122.43172,38.40958,2016,10/12/2016,10/10/2016,2.00
Foothill Fire,Lake,69,-122.7891,39.0863,2016,7/22/2016,7/19/2016,3.00
Pala Fire,San Diego,70,-117.08829,33.41639,2016,6/7/2016,5/31/2016,7.00
Arroyo Fire,Monterey,70,-121.3306,36.2833,2016,6/20/2016,6/18/2016,2.00
