name,county,acres,year,date_end,date_start,month,days,total_acres_burned,total_fires
Border Fire,San Diego,7609,2016,6/30/2016,6/19/2016,6,11,9115,7
Pilot Fire,San Bernardino,8110,2016,8/16/2016,8/7/2016,8,9,44454,4
Canyon Fire,Santa Barbara,12518,2016,9/27/2016,9/17/2016,9,10,20207,3
Cedar Fire,Kern,29322,2016,10/1/2016,8/16/2016,8,46,81104,10
Gap Fire,Siskiyou,33867,2016,8/28/2016,8/27/2016,8,1,37518,6
Blue Cut Fire,San Bernardino,36274,2016,8/23/2016,8/16/2016,8,7,44454,4
Chimney Fire,San Luis Obispo,46235,2016,9/6/2016,8/13/2016,8,24,48471,4
Erskine Fire,Kern,48019,2016,7/11/2016,6/23/2016,6,18,81104,10
Soberanes Fire,Monterey,132127,2016,10/13/2016,7/22/2016,7,83,138770,7
Cristianitos Fire,San Diego,760,2017,6/30/2017,6/28/2017,6,2,10892,19
Salmon-August Complex,Siskiyou,65888,2017,12/8/2017,6/25/2017,6,198,215695,14
Soledad Fire,Monterey,10,2017,1/9/2018,4/24/2017,4,260,2212,14
Moreno Fire,Riverside,10,2017,1/9/2018,5/23/2017,5,231,17013,52
Champagne Fire,Kern,10,2017,1/9/2018,5/28/2017,5,226,13080,24
Twenty Fire,Yuba,10,2017,1/9/2018,5/29/2017,5,225,10981,6
Shirleon Fire,Riverside,10,2017,1/9/2018,6/4/2017,6,219,17013,52
Pine Fire,Kern,10,2017,1/9/2018,6/5/2017,6,218,13080,24
Springs Fire,Riverside,10,2017,1/9/2018,6/16/2017,6,207,17013,52
Lambs Fire,Riverside,10,2017,1/9/2018,6/18/2017,6,205,17013,52
Brewer Fire,Nevada,10,2017,1/9/2018,7/2/2017,7,191,1343,7
Canyon Fire,Riverside,10,2017,1/9/2018,7/3/2017,7,190,17013,52
North Fire,Shasta,10,2017,1/9/2018,7/15/2017,7,178,1399,10
Rebie Fire,Butte,10,2017,1/9/2018,7/12/2017,7,181,25701,17
Navajo Fire,Riverside,10,2017,1/9/2018,7/13/2017,7,180,17013,52
Grizzly Fire,Nevada,10,2017,1/9/2018,7/21/2017,7,172,1343,7
Rincon Fire,Los Angeles,10,2017,1/9/2018,8/3/2017,8,159,31240,13
Sandra Fire,Amador,10,2017,1/9/2018,8/28/2017,8,134,10,1
Shaver Fire,Fresno,10,2017,1/9/2018,9/11/2017,9,120,21403,24
Dexter Fire,Mariposa,10,2017,1/9/2018,9/20/2017,9,111,98634,11
Freeway Fire,Tehama,10,2017,1/9/2018,10/8/2017,10,93,588,11
Lisa Fire,Riverside,11,2017,1/9/2018,7/2/2017,7,191,17013,52
Independence Fire,Sonoma,11,2017,1/9/2018,7/31/2017,7,162,100546,8
Jameson Fire,Riverside,12,2017,1/9/2018,4/30/2017,4,254,17013,52
Shandon Fire,San Luis Obispo,12,2017,1/9/2018,5/7/2017,5,247,35496,24
Taglio Fire,Merced,12,2017,1/9/2018,12/31/2017,12,9,1745,2
Pacific Fire,Butte,12,2017,1/9/2018,9/12/2017,9,119,25701,17
Silver Fire,San Bernardino,13,2017,1/9/2018,7/4/2017,7,189,4065,17
Rosado Fire,El Dorado,13,2017,1/9/2018,7/12/2017,7,181,1147,9
Woodland Fire,El Dorado,13,2017,1/9/2018,7/25/2017,7,168,1147,9
Milton Fire,Stanislaus,13,2017,1/9/2018,10/18/2017,10,83,7155,6
Moraga Fire,Riverside,14,2017,1/9/2018,5/18/2017,5,236,17013,52
Hog Fire,Monterey,14,2017,1/9/2018,6/9/2017,6,214,2212,14
Desabla Fire,Butte,14,2017,1/9/2018,7/2/2017,7,191,25701,17
Drum Fire,Santa Barbara,14,2017,1/9/2018,12/16/2017,12,24,301035,7
Coast Fire,Santa Barbara,14,2017,1/9/2018,12/14/2017,12,26,301035,7
66 Fire,Riverside,15,2017,1/9/2018,4/13/2017,4,271,17013,52
Lombardi Fire,Calaveras,15,2017,1/9/2018,5/28/2017,5,226,343,5
Alvarado Fire,Monterey,15,2017,1/9/2018,6/28/2017,6,195,2212,14
Centerville Fire,Modoc,15,2017,1/9/2018,7/17/2017,7,176,9161,8
Greenhorn Fire,Nevada,15,2017,1/9/2018,7/27/2017,7,166,1343,7
Paskenta Fire,Tehama,15,2017,1/9/2018,8/10/2017,8,152,588,11
Rusty Fire,Fresno,16,2017,1/9/2018,5/28/2017,5,226,21403,24
Matz Fire,San Bernardino,16,2017,1/9/2018,5/29/2017,5,225,4065,17
Elk Fire,Kern,16,2017,1/9/2018,6/2/2017,6,221,13080,24
Canyon Fire,Riverside,17,2017,1/9/2018,5/14/2017,5,240,17013,52
Lonoak Fire,Monterey,17,2017,1/9/2018,5/17/2017,5,237,2212,14
Rocky Fire,San Luis Obispo,17,2017,1/9/2018,5/20/2017,5,234,35496,24
Sky Fire,Shasta,17,2017,1/9/2018,7/29/2017,7,164,1399,10
Corner Fire,Shasta,17,2017,1/9/2018,8/17/2017,8,145,1399,10
Ramblin Fire,Mariposa,17,2017,1/9/2018,10/3/2017,10,98,98634,11
Pine Fire,Monterey,18,2017,1/9/2018,5/16/2017,5,238,2212,14
Panoche Fire,Fresno,18,2017,1/9/2018,5/28/2017,5,226,21403,24
Lakeland Fire,Butte,18,2017,1/9/2018,7/4/2017,7,189,25701,17
Bodega Fire,Sonoma,18,2017,1/9/2018,8/27/2017,8,135,100546,8
Fay Fire,Kern,19,2017,1/9/2018,5/1/2017,5,253,13080,24
King Fire,Siskiyou,19,2017,1/9/2018,6/26/2017,6,197,215695,14
Sway Fire,Humboldt,19,2017,1/9/2018,8/1/2017,8,161,228,6
Willms Fire,Stanislaus,19,2017,1/9/2018,7/18/2017,7,175,7155,6
Nuevo Fire,Riverside,19,2017,1/9/2018,8/13/2017,8,149,17013,52
Garden Fire,Nevada,19,2017,1/9/2018,10/10/2017,10,91,1343,7
Longhorn Fire,Riverside,19,2017,1/9/2018,12/13/2017,12,27,17013,52
Nacimiento Fire,Monterey,20,2017,1/9/2018,5/14/2017,5,240,2212,14
City Fire,Kings,20,2017,1/9/2018,5/18/2017,5,236,50992,3
Fish Fire,Contra Costa,20,2017,1/9/2018,6/5/2017,6,218,621,3
Reed Fire,Riverside,20,2017,1/9/2018,6/13/2017,6,210,17013,52
Range Fire,Mendocino,20,2017,1/9/2018,7/17/2017,7,176,37589,4
Seine Fire,San Bernardino,20,2017,1/9/2018,7/22/2017,7,171,4065,17
Falls Fire,Tuolumne,20,2017,1/9/2018,8/1/2017,8,161,896,5
36 Fire,Tehama,20,2017,1/9/2018,10/3/2017,10,98,588,11
Fort Fire,Sonoma,20,2017,1/9/2018,10/7/2017,10,94,100546,8
Blue Fire,Humboldt,20,2017,1/9/2018,10/8/2017,10,93,228,6
Bitterwater Fire,San Benito,21,2017,1/9/2018,5/22/2017,5,232,102,3
Highway Fire,Butte,21,2017,1/9/2018,6/22/2017,6,201,25701,17
Globe Fire,Tulare,21,2017,1/9/2018,7/5/2017,7,188,61147,11
Mule Fire,Lake,21,2017,1/9/2018,9/5/2017,9,126,2775,8
