name,county,acres,year,date_end,date_start,month,days,total_acres_burned,total_fires
Miller Complex,Siskiyou,39715,2017,1/9/2018,8/14/2017,8,148,215695,14
Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),Napa,44573,2017,10/30/2017,10/9/2017,10,21,141423,6
Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),Sonoma,44573,2017,10/30/2017,10/9/2017,10,21,100546,8
Garza Fire,Kings,48660,2017,7/21/2017,7/9/2017,7,12,50992,3
Atlas Fire (Southern LNU Complex),Napa,51624,2017,10/31/2017,10/9/2017,10,22,141423,6
Atlas Fire (Southern LNU Complex),Solano,51624,2017,10/31/2017,10/9/2017,10,22,51818,4
Eclipse Complex,Siskiyou,78698,2017,11/29/2017,8/15/2017,8,106,215695,14
Detwiler Fire,Mariposa,81826,2017,8/24/2017,7/16/2017,7,39,98634,11
Long Valley Fire,Lassen,83733,2017,7/21/2017,7/11/2017,7,10,110006,7
Thomas Fire,Santa Barbara,281893,2017,1/12/2018,12/4/2017,12,39,301035,7
Thomas Fire,Ventura,281893,2017,1/12/2018,12/4/2017,12,39,282029,3
70th Fire,Riverside,10,2018,1/4/2019,5/28/2018,5,221,2476,24
Jardin Fire,Riverside,10,2018,1/4/2019,6/2/2018,6,216,2476,24
Black Fire,Tehama,10,2018,1/4/2019,6/3/2018,6,215,12141,14
Green Fire,San Diego,10,2018,1/4/2019,6/3/2018,6,215,2205,17
Pallet Fire,Sonoma,10,2018,1/4/2019,6/5/2018,6,213,10,1
Ranchita Fire,Monterey,10,2018,1/4/2019,6/19/2018,6,199,4184,9
Creek Fire,San Luis Obispo,10,2018,1/4/2019,6/21/2018,6,197,2297,14
Llano Fire,Butte,10,2018,1/4/2019,6/29/2018,6,189,155666,12
Building Fire,San Diego,10,2018,1/4/2019,7/6/2018,7,182,2205,17
Lott Fire,Siskiyou,10,2018,1/4/2019,7/17/2018,7,171,76872,11
Syar Fire,Napa,10,2018,1/4/2019,8/9/2018,8,148,92647,5
Keller Fire,Riverside,10,2018,1/4/2019,8/19/2018,8,138,2476,24
Powellton Fire,Butte,10,2018,1/4/2019,10/15/2018,10,81,155666,12
Green Hill Fire,Humboldt,10,2018,1/4/2019,11/12/2018,11,53,3700,3
Bear Fire,Santa Cruz,10,2018,1/4/2019,11/16/2018,11,49,27,2
Rock Fire,Shasta,11,2018,1/3/2019,3/27/2018,3,282,343503,16
Grande Fire,Riverside,11,2018,1/4/2019,6/3/2018,6,215,2476,24
Dark Fire,Butte,11,2018,1/4/2019,7/10/2018,7,178,155666,12
Cornerstone Fire,Madera,11,2018,1/4/2019,7/9/2018,7,179,5240,9
Grant Fire,Alameda,12,2018,1/4/2019,5/14/2018,5,235,1128,8
Volcan Fire,San Diego,12,2018,1/4/2019,5/10/2018,5,239,2205,17
Bellagio Fire,Napa,12,2018,1/4/2019,5/21/2018,5,228,92647,5
Resort Fire,San Luis Obispo,12,2018,1/4/2019,6/3/2018,6,215,2297,14
Meamber Fire,Siskiyou,12,2018,1/4/2019,6/4/2018,6,214,76872,11
Vista Fire,San Diego,12,2018,1/4/2019,6/5/2018,6,213,2205,17
Mission Fire,Marin,12,2018,1/4/2019,6/9/2018,6,209,209,3
School Fire,Madera,12,2018,1/4/2019,7/10/2018,7,178,5240,9
Gray Fire,San Bernardino,12,2018,1/4/2019,7/13/2018,7,175,1820,7
Meyers Fire,El Dorado,12,2018,1/4/2019,9/20/2018,9,106,611,5
Tower Fire,Shasta,12,2018,1/4/2019,10/14/2018,10,82,343503,16
Coldwell Fire,Fresno,13,2018,1/4/2019,6/2/2018,6,216,259,5
Cinnamon Fire,San Diego,13,2018,1/4/2019,7/20/2018,7,168,2205,17
Ranchera Fire,Shasta,13,2018,1/4/2019,9/4/2018,9,122,343503,16
Madison FIre,Yolo,14,2018,1/4/2019,6/1/2018,6,217,90836,3
3-2 Fire,Lassen,14,2018,1/4/2019,7/14/2018,7,174,20231,10
Camp Fire,San Luis Obispo,14,2018,1/4/2019,7/17/2018,7,171,2297,14
Casner Fire,San Diego,14,2018,1/4/2019,8/6/2018,8,151,2205,17
Tyler Fire,Riverside,15,2018,1/3/2019,4/15/2018,4,263,2476,24
Woodchuck Fire,Riverside,15,2018,1/4/2019,5/4/2018,5,245,2476,24
Essex Fire,Modoc,15,2018,1/4/2019,9/2/2018,9,124,41554,4
Iron Gate Fire,Siskiyou,15,2018,1/4/2019,10/10/2018,10,86,76872,11
Keeler Fire,Santa Clara,16,2018,1/4/2019,5/27/2018,5,222,756,9
Johnson Fire,Humboldt,16,2018,1/4/2019,7/15/2018,7,173,3700,3
Oak Fire,Nevada,16,2018,1/4/2019,8/12/2018,8,145,16,1
Ethanac Fire,Riverside,17,2018,1/4/2019,6/3/2018,6,215,2476,24
China Fire,Amador,17,2018,1/4/2019,6/17/2018,6,201,842,2
Rincon Fire,Santa Cruz,17,2018,1/4/2019,11/3/2018,11,62,27,2
Lago Fire,Riverside,18,2018,1/3/2019,4/22/2018,4,256,2476,24
Jacques Fire,San Diego,18,2018,1/4/2019,5/9/2018,5,240,2205,17
French Fire,Plumas,20,2018,1/4/2019,4/26/2018,4,253,137,2
Portola Fire,Los Angeles,20,2018,1/4/2019,6/12/2018,6,206,102232,8
Bridle Fire,Riverside,20,2018,1/4/2019,6/14/2018,6,204,2476,24
70 Fire,Butte,20,2018,1/4/2019,6/14/2018,6,204,155666,12
Vallecitos Fire,Alameda,20,2018,1/4/2019,6/17/2018,6,201,1128,8
Church Fire,Santa Clara,20,2018,1/4/2019,7/25/2018,7,163,756,9
Morgan Fire,Contra Costa,20,2018,1/4/2019,11/15/2018,11,50,754,9
Niles Fire,Alameda,20,2018,1/4/2019,11/14/2018,11,51,1128,8
Meadow Fire,Riverside,21,2018,1/3/2019,4/9/2018,4,269,2476,24
Wagner Fire,Mariposa,22,2018,1/4/2019,8/4/2018,8,153,97131,5
Plymire Fire,Tehama,23,2018,1/4/2019,6/1/2018,6,217,12141,14
Glen Fire,Contra Costa,23,2018,1/4/2019,6/2/2018,6,216,754,9
Land Fire,Riverside,23,2018,1/4/2019,8/22/2018,8,135,2476,24
Kelsey Fire,Lake,24,2018,1/4/2019,9/3/2018,9,123,474688,10
Vineyard Fire,San Luis Obispo,25,2018,1/4/2019,5/29/2018,5,220,2297,14
Willow Fire,Contra Costa,25,2018,1/4/2019,6/16/2018,6,202,754,9
Soboba Fire,Riverside,25,2018,1/4/2019,9/14/2018,9,112,2476,24
White Fire,Tulare,26,2018,1/4/2019,5/18/2018,5,231,776,5
Ager Fire,Siskiyou,27,2018,1/4/2019,5/19/2018,5,230,76872,11
Border Fire,San Diego,28,2018,1/4/2019,7/17/2018,7,171,2205,17
Aqueduct Fire,Fresno,30,2018,1/3/2019,4/12/2018,4,266,259,5
Grant Fire,Sacramento,30,2018,1/4/2019,6/29/2018,6,189,30,1
Rock Fire,San Luis Obispo,30,2018,1/4/2019,7/21/2018,7,167,2297,14
Creek Fire,Alameda,30,2018,1/4/2019,8/4/2018,8,153,1128,8
Sobrante Fire,Riverside,30,2018,1/4/2019,7/28/2018,7,160,2476,24
Alhambra Fire,Contra Costa,30,2018,1/4/2019,8/17/2018,8,140,754,9
Quimby Fire,Santa Clara,30,2018,1/4/2019,9/23/2018,9,103,756,9
Vista Fire,Shasta,31,2018,1/4/2019,7/8/2018,7,180,343503,16
Creek Fire,Lake,32,2018,1/4/2019,6/16/2018,6,202,474688,10
3-18 Fire,Lassen,32,2018,1/4/2019,7/15/2018,7,173,20231,10
Country Fire,Riverside,32,2018,1/4/2019,8/25/2018,8,132,2476,24
Eagle Fire,Fresno,32,2018,1/4/2019,10/2/2018,10,94,259,5
Creek Fire,San Bernardino,33,2018,1/4/2019,6/30/2018,6,188,1820,7
Lariat Fire,Tehama,33,2018,1/4/2019,7/14/2018,7,174,12141,14
Nimshew Fire,Butte,33,2018,1/4/2019,9/24/2018,9,102,155666,12
Horse Creek Fire,Tulare,34,2018,1/4/2019,7/19/2018,7,169,776,5
Patterson Fire,Alameda,34,2018,1/4/2019,7/25/2018,7,163,1128,8
Marcel Fire,Kern,34,2018,1/4/2019,8/17/2018,8,140,5021,8
Fairview Fire,San Benito,35,2018,1/4/2019,6/3/2018,6,215,2574,8
Corner Fire,Shasta,35,2018,1/4/2019,7/29/2018,7,159,343503,16
Terra Fire,Riverside,35,2018,1/4/2019,8/6/2018,8,151,2476,24
Brushy Fire,Mendocino,35,2018,1/4/2019,11/8/2018,11,57,460393,7
Ridge Fire,Lake,36,2018,1/4/2019,9/2/2018,9,124,474688,10
Winchester Fire,Riverside,36,2018,1/4/2019,8/27/2018,8,130,2476,24
Martin Fire,Siskiyou,37,2018,1/4/2019,6/3/2018,6,215,76872,11
Mustang Fire,San Luis Obispo,37,2018,1/4/2019,7/21/2018,7,167,2297,14
Adobe Fire,San Diego,38,2018,1/4/2019,6/3/2018,6,215,2205,17
Masonic Fire,Shasta,38,2018,1/4/2019,10/14/2018,10,82,343503,16
Hidden Fire,San Benito,39,2018,1/4/2019,7/25/2018,7,163,2574,8
Oregon Fire,Butte,40,2018,1/4/2019,6/16/2018,6,202,155666,12
Iron Fire,Contra Costa,40,2018,1/4/2019,6/19/2018,6,199,754,9
Ben Fire,Mariposa,40,2018,1/4/2019,7/19/2018,7,169,97131,5
Martinez Fire,Riverside,40,2018,1/4/2019,7/23/2018,7,165,2476,24
Simmons Fire,Butte,43,2018,1/4/2019,7/19/2018,7,169,155666,12
Buckingham Fire,Contra Costa,45,2018,1/4/2019,7/2/2018,7,186,754,9
Bridge Fire,Marin,45,2018,1/4/2019,12/31/2018,12,4,209,3
Castro Fire,Alameda,48,2018,1/4/2019,8/26/2018,8,131,1128,8
Haycamp Fire,Monterey,50,2018,1/3/2019,2/7/2018,2,330,4184,9
Tuscan Fire,Tehama,50,2018,1/4/2019,7/15/2018,7,173,12141,14
Carder Fire,Lake,50,2018,1/4/2019,7/21/2018,7,167,474688,10
Hale Fire,Santa Clara,51,2018,1/4/2019,7/10/2018,7,178,756,9
Crestline Fire,Shasta,51,2018,1/4/2019,7/24/2018,7,164,343503,16
Reservoir Fire,San Luis Obispo,51,2018,1/4/2019,9/16/2018,9,110,2297,14
Kelley Fire,Modoc,52,2018,1/4/2019,7/14/2018,7,174,41554,4
Boyer Fire,Mariposa,53,2018,1/4/2019,6/15/2018,6,203,97131,5
Copper Fire,Lassen,53,2018,1/4/2019,9/22/2018,9,104,20231,10
Keenbrook Fire,San Bernardino,53,2018,1/4/2019,9/26/2018,9,100,1820,7
Experimental Fire,Madera,56,2018,1/4/2019,5/23/2018,5,226,5240,9
Bruce Fire,Contra Costa,56,2018,1/4/2019,7/8/2018,7,180,754,9
3-10 Fire,Lassen,56,2018,1/4/2019,7/15/2018,7,173,20231,10
Camino Fire,San Luis Obispo,58,2018,1/4/2019,10/19/2018,10,77,2297,14
Agua Fire,San Diego,59,2018,1/4/2019,5/22/2018,5,227,2205,17
Happy Fire,Santa Barbara,60,2018,1/4/2019,5/17/2018,5,232,1804,7
Vista Fire,San Luis Obispo,60,2018,1/4/2019,6/13/2018,6,205,2297,14
Creston FIre,San Luis Obispo,60,2018,1/4/2019,6/14/2018,6,204,2297,14
Raymond Fire,Madera,60,2018,1/4/2019,6/15/2018,6,203,5240,9
Grade Fire,Lake,60,2018,1/4/2019,8/30/2018,8,127,474688,10
Adams Fire,Tehama,60,2018,1/4/2019,11/5/2018,11,60,12141,14
Liberty Fire,San Joaquin,62,2018,1/4/2019,6/11/2018,6,207,11851,2
Canyon Fire,Los Angeles,62,2018,1/4/2019,6/23/2018,6,195,102232,8
Lebec Fire,Kern,62,2018,1/4/2019,7/8/2018,7,180,5021,8
Stuhr Fire,Stanislaus,63,2018,1/4/2019,5/29/2018,5,220,63,1
Cherry Fire,Siskiyou,63,2018,1/4/2019,6/27/2018,6,191,76872,11
Benton Fire,Riverside,63,2018,1/4/2019,7/4/2018,7,184,2476,24
Highland Fire,Shasta,63,2018,1/4/2019,7/20/2018,7,168,343503,16
Park Fire,Santa Clara,63,2018,1/4/2019,10/7/2018,10,89,756,9
Panoche Fire,San Benito,64,2018,1/4/2019,6/4/2018,6,214,2574,8
Omega Fire,El Dorado,66,2018,1/4/2019,8/1/2018,8,156,611,5
Heart Fire,Mendocino,67,2018,1/4/2019,7/21/2018,7,167,460393,7
Bumper Fire,El Dorado,67,2018,1/4/2019,8/1/2018,8,156,611,5
Romero Fire,Merced,68,2018,1/4/2019,6/24/2018,6,194,6860,6
Tornado Fire,Riverside,70,2018,1/4/2019,5/4/2018,5,245,2476,24
Spring Fire,Tehama,70,2018,1/4/2019,6/13/2018,6,205,12141,14
Tesla Fire,Santa Clara,70,2018,1/4/2019,6/29/2018,6,189,756,9
Curie Fire,Santa Clara,70,2018,1/4/2019,7/10/2018,7,178,756,9
Main Fire,Riverside,73,2018,1/4/2019,4/28/2018,4,251,2476,24
Chrome Fire,Glenn,75,2018,1/4/2019,5/28/2018,5,221,412695,4
Stony Fire,Colusa,75,2018,1/4/2019,7/4/2018,7,184,459198,3
Anchor Fire,Fresno,76,2018,1/4/2019,6/27/2018,6,191,259,5
Silver Fire,Shasta,76,2018,1/4/2019,9/28/2018,9,98,343503,16
Cruces Fire,Santa Barbara,77,2018,1/4/2019,7/18/2018,7,170,1804,7
Horse Fire,Calaveras,80,2018,1/4/2019,6/24/2018,6,194,506,3
Spring 2 Fire,Lake,80,2018,1/4/2019,7/9/2018,7,179,474688,10
Shandon Fire,San Luis Obispo,80,2018,1/4/2019,9/29/2018,9,97,2297,14
Plaza Fire,Merced,88,2018,1/4/2019,5/20/2018,5,229,6860,6
Redinger Fire,Madera,88,2018,1/4/2019,8/27/2018,8,130,5240,9
Horn Fire,Lassen,88,2018,1/4/2019,11/8/2018,11,57,20231,10
3-16 Fire,Lassen,89,2018,1/4/2019,7/15/2018,7,173,20231,10
Peach Fire,Mendocino,90,2018,1/4/2019,7/5/2018,7,183,460393,7
Sheep Fire,Kern,95,2018,1/4/2019,6/29/2018,6,189,5021,8
Sam Fire,Monterey,96,2018,1/4/2019,6/9/2018,6,209,4184,9
Water Fire,San Luis Obispo,100,2018,1/4/2019,5/24/2018,5,225,2297,14
Box Fire,San Bernardino,100,2018,1/4/2019,7/6/2018,7,182,1820,7
Balch Fire,Tulare,100,2018,1/4/2019,7/27/2018,7,161,776,5
Cloverdale Fire,San Diego,100,2018,1/4/2019,8/13/2018,8,144,2205,17
Jelly Fire,Tehama,103,2018,1/4/2019,5/18/2018,5,231,12141,14
Cache Fire,Lake,103,2018,1/4/2019,8/26/2018,8,131,474688,10
Western Fire,Mendocino,106,2018,1/4/2019,8/1/2018,8,156,460393,7
Cobble Fire,Fresno,108,2018,1/4/2019,5/26/2018,5,223,259,5
Windmill Fire,Santa Barbara,110,2018,1/4/2019,7/20/2018,7,168,1804,7
Holiday Fire,Santa Barbara,113,2018,1/4/2019,7/6/2018,7,182,1804,7
Pine Fire,Kern,114,2018,1/4/2019,8/16/2018,8,141,5021,8
Wheeler Fire,Mariposa,115,2018,1/4/2019,6/18/2018,6,200,97131,5
Bridle Fire,Santa Clara,116,2018,1/4/2019,7/6/2018,7,182,756,9
Idria Fire,San Benito,116,2018,1/4/2019,7/12/2018,7,176,2574,8
Murphy Fire,Plumas,117,2018,1/4/2019,8/7/2018,8,150,137,2
Market Fire,Tulare,120,2018,1/4/2019,10/24/2018,10,72,776,5
Sterling,San Bernardino,125,2018,1/4/2019,8/31/2018,8,126,1820,7
Shastina Fire,Siskiyou,127,2018,1/4/2019,5/9/2018,5,240,76872,11
Open Fire,Glenn,127,2018,1/4/2019,6/1/2018,6,217,412695,4
Pico Fire,Los Angeles,128,2018,1/4/2019,7/23/2018,7,165,102232,8
Steele Fire,Napa,135,2018,1/4/2019,7/28/2018,7,160,92647,5
Parrots Fire,Calaveras,136,2018,1/4/2019,8/5/2018,8,152,506,3
Sierra Fire,San Bernardino,147,2018,1/4/2019,11/13/2018,11,52,1820,7
Sliger Fire,El Dorado,150,2018,1/4/2019,9/4/2018,9,122,611,5
Nacimiento Fire,Monterey,150,2018,1/4/2019,10/2/2018,10,94,4184,9
Briggs Fire,Ventura,150,2018,1/4/2019,11/15/2018,11,50,101666,4
Irving Fire,Marin,152,2018,1/4/2019,9/10/2018,9,116,209,3
Euclid Fire,Riverside,154,2018,1/4/2019,6/12/2018,6,206,2476,24
Santiago Fire,Orange,155,2018,1/4/2019,6/11/2018,6,207,23466,3
Gorge Fire,Shasta,155,2018,1/4/2019,8/19/2018,8,138,343503,16
Winters Fire,Solano,160,2018,1/4/2019,10/12/2018,10,84,3822,3
Flat Fire,Tuolumne,163,2018,1/4/2019,6/24/2018,6,194,37186,3
Fork Fire,Los Angeles,166,2018,1/4/2019,9/9/2018,9,117,102232,8
Roxie Fire (Formerly 1-1 Fire),Lassen,167,2018,1/4/2019,7/24/2018,7,164,20231,10
Priest Fire,Monterey,167,2018,1/4/2019,10/13/2018,10,83,4184,9
Sierra Fire,Tehama,170,2018,1/4/2019,6/23/2018,6,195,12141,14
Ogilvy Fire,Santa Barbara,172,2018,1/4/2019,9/1/2018,9,125,1804,7
Aliso Fire,Orange,175,2018,1/4/2019,6/2/2018,6,216,23466,3
South Fire,Los Angeles,175,2018,1/4/2019,6/9/2018,6,209,102232,8
Dinosaur Fire,Merced,185,2018,1/4/2019,6/17/2018,6,201,6860,6
Peak Fire,Ventura,186,2018,1/4/2019,11/12/2018,11,53,101666,4
Par Fire,Butte,191,2018,1/4/2019,7/4/2018,7,184,155666,12
Bear Fire,Merced,200,2018,1/4/2019,6/7/2018,6,211,6860,6
Water Fire,Kern,200,2018,1/4/2019,9/12/2018,9,114,5021,8
Ribbon Fire,Riverside,205,2018,1/4/2019,7/26/2018,7,162,2476,24
Rock Fire,San Diego,207,2018,1/4/2019,7/28/2018,7,160,2205,17
Beaver Fire,San Benito,215,2018,1/4/2019,6/12/2018,6,206,2574,8
Petersburg Fire,Siskiyou,215,2018,1/4/2019,7/1/2018,7,187,76872,11
Steamboat Fire,Siskiyou,224,2018,1/4/2019,7/15/2018,7,173,76872,11
Marsh Fire,Contra Costa,247,2018,1/4/2019,7/25/2018,7,163,754,9
Rangeland Fire,San Diego,250,2018,1/4/2019,8/9/2018,8,148,2205,17
Santa Cruz Fire,Santa Barbara,258,2018,1/3/2019,3/27/2018,3,282,1804,7
Fox Fire,San Luis Obispo,260,2018,1/4/2019,6/26/2018,6,192,2297,14
Wilson Fire,Tehama,261,2018,1/4/2019,9/28/2018,9,98,12141,14
Recycle Fire,San Diego,265,2018,1/4/2019,6/6/2018,6,212,2205,17
Stoll Fire,Tehama,268,2018,1/4/2019,6/23/2018,6,195,12141,14
Valley Fire,Contra Costa,268,2018,1/4/2019,6/29/2018,6,189,754,9
Panoche Fire,San Benito,278,2018,1/4/2019,7/11/2018,7,177,2574,8
Skyline Fire,Riverside,282,2018,1/4/2019,7/19/2018,7,169,2476,24
Eastman Fire,Madera,289,2018,1/4/2019,8/23/2018,8,134,5240,9
South Fire,Calaveras,290,2018,1/4/2019,8/6/2018,8,151,506,3
Alpha Fire,San Diego,300,2018,1/4/2019,5/4/2018,5,245,2205,17
ONeals Fire,Madera,300,2018,1/4/2019,6/4/2018,6,214,5240,9
Flat Fire,Trinity,300,2018,1/4/2019,6/28/2018,6,190,295013,4
Shingle Fire,El Dorado,316,2018,1/4/2019,7/4/2018,7,184,611,5
Country Fire,Santa Clara,320,2018,1/4/2019,7/22/2018,7,166,756,9
Bascom Fire,Shasta,328,2018,1/4/2019,6/23/2018,6,195,343503,16
Owens Fire,Inyo,338,2018,1/4/2019,7/31/2018,7,157,6356,4
Oak Fire,Madera,360,2018,1/4/2019,9/22/2018,9,104,5240,9
Pasqual Fire,San Diego,365,2018,1/4/2019,7/27/2018,7,161,2205,17
Call Fire,Kern,367,2018,1/4/2019,8/18/2018,8,139,5021,8
San Ardo,Monterey,375,2018,6/21/2019,6/26/2018,6,360,4184,9
Hyatt Fire,Lassen,383,2018,1/4/2019,6/27/2018,6,191,20231,10
Metz Fire,Monterey,411,2018,1/4/2019,9/13/2018,9,113,4184,9
Shippee Fire,Butte,460,2018,1/4/2019,6/26/2018,6,192,155666,12
Grant Fire,Alameda,480,2018,1/4/2019,7/8/2018,7,180,1128,8
Grant Fire,Alameda,484,2018,1/4/2019,5/30/2018,5,219,1128,8
River Fire,Tulare,496,2018,1/4/2019,8/15/2018,8,142,776,5
West Fire,San Diego,504,2018,1/4/2019,7/6/2018,7,182,2205,17
Eastern Fire,San Benito,513,2018,1/4/2019,6/4/2018,6,214,2574,8
June Fire,Butte,550,2018,1/4/2019,10/30/2018,10,66,155666,12
Tulloch Fire,Tuolumne,573,2018,1/4/2019,9/8/2018,9,118,37186,3
Tumbleweed Fire,Lassen,646,2018,1/4/2019,6/14/2018,6,204,20231,10
Sunset Fire,Placer,695,2018,1/4/2019,8/1/2018,8,156,1815,2
Gulch Fire,Monterey,700,2018,1/4/2019,8/11/2018,8,146,4184,9
Eighty Eight Fire,Yolo,822,2018,1/4/2019,7/18/2018,7,170,90836,3
Irish Fire,Amador,825,2018,1/4/2019,7/6/2018,7,182,842,2
Dale Fire,Tehama,856,2018,1/4/2019,7/9/2018,7,179,12141,14
Stoney Fire,Butte,962,2018,1/4/2019,7/12/2018,7,176,155666,12
Eel Fire,Mendocino,972,2018,1/4/2019,7/31/2018,7,157,460393,7
Breckenridge Fire,Kern,993,2018,1/4/2019,7/27/2018,7,161,5021,8
Front Fire,Santa Barbara,1014,2018,8/29/2018,8/19/2018,8,10,1804,7
Moffat Fire,Inyo,1065,2018,5/21/2018,4/19/2018,4,32,6356,4
North Fire,Placer,1120,2018,1/4/2019,9/3/2018,9,123,1815,2
Butte Fire,Sutter,1200,2018,8/3/2018,7/31/2018,7,3,1200,1
Patterson Fire,Riverside,1261,2018,5/21/2018,5/17/2018,5,4,2476,24
Airline Fire,San Benito,1314,2018,6/14/2018,6/4/2018,6,10,2574,8
Valley Fire,San Bernardino,1350,2018,10/22/2018,7/6/2018,7,108,1820,7
Stone Fire,Los Angeles,1352,2018,6/13/2018,6/4/2018,6,9,102232,8
Yankee Fire,San Luis Obispo,1500,2018,7/1/2018,6/20/2018,6,11,2297,14
Nurse Fire,Solano,1500,2018,11/27/2018,11/8/2018,11,19,3822,3
Creek Fire,Shasta,1678,2018,7/5/2018,6/24/2018,6,11,343503,16
Kerlin Fire,Trinity,1751,2018,9/17/2018,9/4/2018,9,13,295013,4
Nees Fire,Merced,1756,2018,5/17/2018,5/2/2018,5,15,6860,6
Hat Fire,Shasta,1900,2018,8/16/2018,8/9/2018,8,7,343503,16
Pleasant Fire,Inyo,2070,2018,4/3/2018,2/18/2018,2,44,6356,4
Eagle Fire,Modoc,2100,2018,7/17/2018,7/13/2018,7,4,41554,4
Nelson Fire,Solano,2162,2018,8/12/2018,8/10/2018,8,2,3822,3
Turkey Fire,Monterey,2225,2018,8/6/2018,8/6/2018,8,0,4184,9
Chrome Fire,Glenn,2290,2018,6/21/2018,6/9/2018,6,12,412695,4
Snell Fire,Napa,2490,2018,9/15/2018,9/8/2018,9,7,92647,5
Georges Fire,Inyo,2883,2018,7/18/2018,7/8/2018,7,10,6356,4
Apple Fire,Tehama,2956,2018,6/14/2018,6/9/2018,6,5,12141,14
Five Fire,Kings,2995,2018,8/8/2018,8/6/2018,8,2,2995,1
Tarina Fire,Kern,3156,2018,8/6/2018,8/3/2018,8,3,5021,8
Charlie Fire,Los Angeles,3380,2018,10/1/2018,9/22/2018,9,9,102232,8
Lane Fire,Tehama,3392,2018,7/4/2018,6/23/2018,6,11,12141,14
Mill Creek 1 Fire,Humboldt,3674,2018,8/30/2018,8/16/2018,8,14,3700,3
Sun Fire,Tehama,3889,2018,10/12/2018,10/7/2018,10,5,12141,14
Lions Fire,Madera,4064,2018,10/1/2018,6/11/2018,6,112,5240,9
Hill Fire,Ventura,4381,2018,11/15/2018,11/8/2018,11,7,101666,4
Planada Fire,Merced,4563,2018,6/21/2018,6/15/2018,6,6,6860,6
Boot Fire,Mono,6974,2018,9/15/2018,9/4/2018,9,11,6974,1
Waverly Fire,San Joaquin,11789,2018,7/2/2018,6/29/2018,6,3,11851,2
Pawnee Fire,Lake,15180,2018,7/8/2018,6/23/2018,6,15,474688,10
Whaleback Fire,Lassen,18703,2018,8/7/2018,7/27/2018,7,11,20231,10
Holy Fire,Orange,23136,2018,9/13/2018,8/6/2018,8,38,23466,3
Donnell Fire,Tuolumne,36450,2018,10/1/2018,8/1/2018,8,61,37186,3
Klamathon Fire,Siskiyou,38008,2018,7/16/2018,7/5/2018,7,11,76872,11
Natchez Fire,Siskiyou,38134,2018,10/30/2018,7/15/2018,7,107,76872,11
Stone Fire,Modoc,39387,2018,8/29/2018,8/15/2018,8,14,41554,4
Hirz Fire,Shasta,46150,2018,9/12/2018,8/9/2018,8,34,343503,16
River Fire (Mendocino Complex),Colusa,48920,2018,9/18/2018,7/27/2018,7,53,459198,3
River Fire (Mendocino Complex),Lake,48920,2018,9/18/2018,7/27/2018,7,53,474688,10
River Fire (Mendocino Complex),Mendocino,48920,2018,9/18/2018,7/27/2018,7,53,460393,7
Delta Fire,Shasta,63311,2018,10/7/2018,9/5/2018,9,32,343503,16
Delta Fire,Trinity,63311,2018,10/7/2018,9/5/2018,9,32,295013,4
County Fire,Napa,90000,2018,7/14/2018,6/30/2018,6,14,92647,5
County Fire,Yolo,90000,2018,7/14/2018,6/30/2018,6,14,90836,3
Ferguson Fire,Mariposa,96901,2018,8/18/2018,7/13/2018,7,36,97131,5
Woolsey Fire,Los Angeles,96949,2018,11/22/2018,11/8/2018,11,14,102232,8
Woolsey Fire,Ventura,96949,2018,11/22/2018,11/8/2018,11,14,101666,4
Camp Fire,Butte,153336,2018,11/25/2018,11/8/2018,11,17,155666,12
Carr Fire,Shasta,229651,2018,8/30/2018,7/23/2018,7,38,343503,16
Carr Fire,Trinity,229651,2018,8/30/2018,7/23/2018,7,38,295013,4
Ranch Fire (Mendocino Complex),Colusa,410203,2018,9/18/2018,7/27/2018,7,53,459198,3
Ranch Fire (Mendocino Complex),Mendocino,410203,2018,9/18/2018,7/27/2018,7,53,460393,7
Ranch Fire (Mendocino Complex),Glenn,410203,2018,9/18/2018,7/27/2018,7,53,412695,4
Ranch Fire (Mendocino Complex),Lake,410203,2018,9/18/2018,7/27/2018,7,53,474688,10
Long Fire,Nevada,2,2019,6/28/2019,6/28/2019,6,0,2,1
Eagle Fire,Riverside,9,2019,10/10/2019,10/10/2019,10,0,7009,32
Cana Fire,Butte,10,2019,5/8/2019,4/30/2019,4,8,1033,9
IronGate Fire,Siskiyou,10,2019,6/21/2019,6/16/2019,6,5,2557,9
Moms Fire,Butte,10,2019,07/25/2019,7/23/2019,7,2,1033,9
Deer Fire,Santa Cruz,10,2019,9/6/2019,9/3/2019,9,3,10,1
Bailey Fire,Riverside,10,2019,9/10/2019,9/10/2019,9,0,7009,32
Electra Fire,Amador,10,2019,9/25/2019,9/25/2019,9,0,10,1
Wilson Fire,Mendocino,10,2019,10/04/2019,10/4/2019,10,0,1068,4
Inghram Fire,Tehama,10,2019,10/9/2019,10/8/2019,10,1,17505,9
Fairmont Fire,San Diego,10,2019,10/16/2019,10/15/2019,10,1,1459,16
Mines Fire,Alameda,11,2019,9/2/2019,9/2/2019,9,0,533,9
Bridge Fire,Stanislaus,11,2019,9/13/2019,9/13/2019,9,0,3457,7
Dales Fire,Tehama,11,2019,10/7/2019,10/7/2019,10,0,17505,9
Beaumont Fire,San Bernardino,11,2019,10/22/2019,10/21/2019,10,1,634,7
